File,Lines %,Functions %,Branches %,Statements %,Overall Score,Category
"/lib/supabase.ts",0,0,0,0,0,critical
"/lib/utils.ts",25,16.66,0,23.52,16,critical
"/lib/emails/event-cancellation.tsx",0,0,0,0,0,critical
"/lib/emails/event-reminder.tsx",0,0,0,0,0,critical
"/lib/emails/rsvp-cancellation.tsx",0,0,0,0,0,critical
"/lib/emails/rsvp-confirmation.tsx",0,0,0,0,0,critical
"/lib/emails/send-ticket-confirmation.ts",0,0,0,0,0,critical
"/lib/emails/welcome-email.tsx",0,0,0,0,0,critical
"/lib/emails/templates/RefundConfirmationEmail.tsx",0,0,0,0,0,critical
"/lib/emails/templates/TicketConfirmationEmail.tsx",0,0,0,0,0,critical
"/lib/hooks/useAuth.ts",0,0,0,0,0,critical
"/lib/hooks/useInfiniteScroll.ts",0,0,0,0,0,critical
"/lib/hooks/usePagination.ts",0,0,0,0,0,critical
"/lib/middleware/performance.ts",0,0,0,0,0,critical
"/lib/types/filters.ts",0,0,100,0,25,critical
"/lib/types/index.ts",0,100,100,0,50,poor
"/lib/utils/cache.ts",0,0,0,0,0,critical
"/lib/utils/eventFilters.ts",69.84,62.16,61.33,69.92,66,poor
"/lib/utils/optimization.ts",0,0,0,0,0,critical
"/lib/utils/performance.ts",0,0,0,0,0,critical
"/lib/utils/ticket-utils.ts",93.06,100,77.5,92.8,91,excellent
